GENE	he	he+N	ht	ht+N	UNINFORMATIVE	UNINFORMATIVE+N	UNK	UNK+N
HE_FRAG5337.3-2373|SPU_007007	430	24	14	2	11	0	23	22
HE_FRAG13737.0-1110|SPU_004203	306	19	34	0	17	0	21	9
HE_COMP231761_C9_SEQ1.23-1529|SPU_017842	268	0	121	0	0	0	1	0
HE_CONTIG4779|SPU_018178	0	0	0	0	0	0	7	101
HE_FRAG13753.1659-2100|SPU_020214	212	13	21	0	0	0	81	62
HE_COMP230434_C1_SEQ1.0-872|SPU_002184	83	1	21	6	4	0	23	2
HE_CONTIG2285|SPU_019377	176	26	59	0	10	0	25	29
HE_FRAG14895.3-5836|SPU_000212	831	94	108	0	3	0	72	34
HE_COMP234152_C1_SEQ3.255-407|SPU_024859	20	6	26	1	10	6	5	0
HE_COMP227635_C0_SEQ1.100-248|UNKNOWN	0	0	0	0	0	0	4	0
HE_FRAG13543.95-278|SPU_008833	0	0	0	0	0	0	2	12
HE_COMP241500_C1_SEQ1.0-1941|SPU_030224	85	7	35	3	4	0	24	8
HE_FRAG13578.33-1190|SPU_017470	311	37	95	5	34	2	25	12
HE_COMP247261_C2_SEQ11.0-708|SPU_022355	731	60	217	1	0	0	257	0
HE_CONTIG157|SPU_014886	80	24	76	0	155	4	6	0
HE_CONTIG3659|SPU_014519	0	0	0	0	0	0	2	0
HE_COMP231570_C8_SEQ2.3-39|UNKNOWN	0	0	0	0	0	0	3	0
HE_COMP228741_C2_SEQ2.0-210|SPU_017960	0	0	0	0	0	0	7	0
HE_FRAG22924.3-13107|SPU_017733	4036	442	3312	68	42	0	382	64
HE_COMP237265_C2_SEQ1.119-155|UNKNOWN	0	0	0	0	0	0	0	0
HE_COMP237710_C7_SEQ1.2472-2739|SPU_005844	0	0	0	0	0	0	0	0
HE_CONTIG5111|SPU_015151	277	14	312	0	1	0	6	8
HE_CONTIG708|UNKNOWN	19	0	0	0	0	0	11	0
HE_CONTIG108|SPU_018962	697	190	254	0	32	0	49	0
HE_CONTIG2659|SPU_002174	283	17	11	0	0	0	29	1
HE_FRAG7415.1026-1242|UNKNOWN	0	0	0	0	0	0	11	0
HE_FRAG1022.505-602|UNKNOWN	707	0	74	0	0	0	1	0
HE_COMP238616_C0_SEQ1.0-442|SPU_014751	386	84	135	0	50	4	42	8
HE_COMP223776_C1_SEQ1.845-1097|SPU_014487	0	0	0	0	0	0	1	0
HE_CONTIG940|SPU_028807	82	8	29	0	3	0	21	2
HE_CONTIG1893|SPU_025927	148	0	20	0	0	0	3	0
HE_CONTIG2056|SPU_002018	26	1	10	0	0	0	0	0
HE_FRAG8342.2034-2124|UNKNOWN	0	0	0	0	0	0	0	0
HE_COMP231098_C0_SEQ1.0-1059|SPU_006060	116	7	12	0	8	0	6	0
HE_FRAG14087.2-824|UNKNOWN	0	0	0	0	0	0	23	0
HE_CONTIG3897|SPU_008199	1307	83	254	17	159	25	126	9
HE_CONTIG4028|SPU_019712	407	127	24	0	38	1	131	77
HE_COMP230816_C5_SEQ1.117-174|UNKNOWN	1	0	1	2	0	0	1	6
HE_COMP236051_C4_SEQ1.0-3213|SPU_012202	982	59	290	0	274	18	148	9
HE_COMP241141_C1_SEQ3.785-1700|SPU_017307	1998	403	1381	0	23	1	95	1
HE_COMP227882_C0_SEQ1.0-120|SPU_020423	0	0	0	0	0	0	0	0
HE_COMP234539_C8_SEQ1.41-80|UNKNOWN	0	0	0	0	0	0	2	0
HE_FRAG3151.0-1623|SPU_023091	276	51	7	0	0	0	12	0
HE_FRAG9113.0-1562|SPU_007283	570	97	32	10	53	22	89	30
