GENE	he	he+N	ht	ht+N	UNINFORMATIVE	UNINFORMATIVE+N	UNK	UNK+N
HE_COMP236912_C6_SEQ8.2-34|UNKNOWN	0	0	0	0	0	0	0	0
HE_FRAG5894.0-777|SPU_022326	25	14	144	0	6	0	11	5
HE_COMP246707_C6_SEQ1.111-153|UNKNOWN	16	4	4	0	26	15	8	3
HE_FRAG3745.57-414|SPU_018678	18	9	4	0	0	0	0	0
HE_COMP241685_C0_SEQ1.0-1271|UNKNOWN	68	2	59	17	4	0	24	13
HE_FRAG6806.0-666|SPU_024040	90	32	117	2	30	4	43	4
HE_FRAG14106.0-2090|SPU_022809	80	10	124	5	20	2	18	3
HE_FRAG12591.0-2013|SPU_010585	497	10	318	30	114	4	55	32
HE_COMP231605_C2_SEQ1.360-450|UNKNOWN	0	0	0	0	0	0	1	0
HE_FRAG942.0-747|SPU_013197	100	12	24	0	0	0	4	0
HE_CONTIG670|SPU_019187	0	0	0	0	0	0	8	0
HE_CONTIG3190|SPU_008160	68	1	181	0	4	0	13	0
HE_CONTIG3008|SPU_014492	98	4	129	19	21	0	22	0
HE_COMP236380_C6_SEQ1.22-54|UNKNOWN	2	0	2	3	11	0	12	7
HE_COMP242615_C2_SEQ2.230-263|UNKNOWN	0	0	0	0	0	0	0	0
HE_COMP225147_C0_SEQ1.0-285|SPU_000684	0	0	0	0	0	0	2	0
HE_FRAG1788.0-1500|SPU_012560	286	54	194	0	81	4	22	4
HE_COMP238551_C1_SEQ20.206-242|UNKNOWN	0	0	0	0	0	0	0	0
HE_COMP233392_C2_SEQ1.90-161|UNKNOWN	1	1	6	11	0	1	13	34
HE_COMP241956_C4_SEQ1.71-521|SPU_023941	20	0	44	0	1	0	1	0
HE_FRAG23184.1965-2285|SPU_027006	0	0	0	0	0	0	1	0
HE_COMP240897_C3_SEQ1.749-1010|UNKNOWN	0	0	0	0	0	0	0	0
HE_FRAG6220.120-168|UNKNOWN	6	0	3	2	0	0	3	4
HE_COMP236773_C4_SEQ5.12-52|UNKNOWN	0	0	0	0	0	0	5	0
HE_COMP234537_C0_SEQ1.30-321|SPU_024592	0	0	0	0	0	0	32	0
HE_COMP245464_C0_SEQ1.465-4995|SPU_023044	585	82	798	104	16	2	152	10
HE_FRAG21698.1422-4683|SPU_018809	229	44	161	3	27	11	67	38
HE_COMP242449_C0_SEQ1.389-497|UNKNOWN	5	5	0	0	0	0	0	0
HE_FRAG7262.2-1728|SPU_019701	229	12	58	0	22	0	44	5
HE_COMP229236_C0_SEQ1.162-435|SPU_005055	0	0	0	0	0	0	2	0
HE_COMP246564_C1_SEQ3.0-1812|SPU_010488	200	14	168	23	12	0	32	13
HE_FRAG13924.160-2322|SPU_017583	88	6	96	8	3	0	15	4
HE_COMP232655_C8_SEQ7.42-87|UNKNOWN	0	0	0	0	0	0	1	0
HE_CONTIG4061|SPU_014140	2679	2	1655	109	23	0	624	138
HE_COMP241780_C1_SEQ5.0-60|UNKNOWN	0	0	0	0	0	0	2	0
