GENE	he	he+N	ht	ht+N	UNINFORMATIVE	UNINFORMATIVE+N	UNK	UNK+N
HE_COMP236912_C6_SEQ8.2-34|UNKNOWN	0	0	0	0	0	0	0	0
HE_FRAG5894.0-777|SPU_022326	5	0	24	0	5	6	10	1
HE_COMP246707_C6_SEQ1.111-153|UNKNOWN	0	11	0	0	26	26	2	4
HE_FRAG3745.57-414|SPU_018678	9	1	8	0	1	0	1	0
HE_COMP241685_C0_SEQ1.0-1271|UNKNOWN	23	3	27	5	7	0	22	17
HE_FRAG6806.0-666|SPU_024040	102	31	59	25	18	5	101	4
HE_FRAG14106.0-2090|SPU_022809	82	15	67	0	26	1	15	0
HE_FRAG12591.0-2013|SPU_010585	132	23	187	26	60	2	30	76
HE_COMP231605_C2_SEQ1.360-450|UNKNOWN	0	0	0	0	0	0	2	0
HE_FRAG942.0-747|SPU_013197	103	30	44	2	0	0	3	0
HE_CONTIG670|SPU_019187	0	0	0	0	0	0	8	0
HE_CONTIG3190|SPU_008160	155	4	109	0	3	0	64	1
HE_CONTIG3008|SPU_014492	218	0	483	60	57	0	18	12
HE_COMP236380_C6_SEQ1.22-54|UNKNOWN	1	0	0	1	8	1	14	4
HE_COMP242615_C2_SEQ2.230-263|UNKNOWN	0	0	0	0	0	0	1	0
HE_COMP225147_C0_SEQ1.0-285|SPU_000684	0	0	0	0	0	0	2	0
HE_FRAG1788.0-1500|SPU_012560	299	13	107	0	59	0	27	0
HE_COMP238551_C1_SEQ20.206-242|UNKNOWN	0	0	0	0	0	0	0	0
HE_COMP233392_C2_SEQ1.90-161|UNKNOWN	0	1	1	2	0	3	5	20
HE_COMP241956_C4_SEQ1.71-521|SPU_023941	11	2	14	0	0	0	12	0
HE_FRAG23184.1965-2285|SPU_027006	0	0	0	0	0	0	1	0
HE_COMP240897_C3_SEQ1.749-1010|UNKNOWN	0	0	0	0	0	0	8	0
HE_FRAG6220.120-168|UNKNOWN	7	3	4	0	2	0	1	7
HE_COMP236773_C4_SEQ5.12-52|UNKNOWN	0	0	0	0	0	0	2	0
HE_COMP234537_C0_SEQ1.30-321|SPU_024592	0	0	0	0	0	0	90	0
HE_COMP245464_C0_SEQ1.465-4995|SPU_023044	242	86	527	38	14	0	92	30
HE_FRAG21698.1422-4683|SPU_018809	315	112	248	20	50	15	97	20
HE_COMP242449_C0_SEQ1.389-497|UNKNOWN	0	1	1	0	0	0	4	6
HE_FRAG7262.2-1728|SPU_019701	51	14	31	0	5	1	43	2
HE_COMP229236_C0_SEQ1.162-435|SPU_005055	0	0	0	0	0	0	19	0
HE_COMP246564_C1_SEQ3.0-1812|SPU_010488	215	29	249	53	6	4	86	47
HE_FRAG13924.160-2322|SPU_017583	72	9	82	32	17	0	14	4
HE_COMP232655_C8_SEQ7.42-87|UNKNOWN	0	0	0	0	0	0	4	0
HE_CONTIG4061|SPU_014140	325	77	1525	116	13	0	290	305
HE_COMP241780_C1_SEQ5.0-60|UNKNOWN	0	0	0	0	0	0	1	0
HE_FRAG16042.0-1950|SPU_019287	164	88	144	8	0	0	78	31
HE_CONTIG1907|SPU_004916	0	0	0	0	0	0	3	0
HE_COMP233789_C2_SEQ1.2-53|UNKNOWN	163	364	0	2	6	1	14	67
HE_FRAG574.1-1472|SPU_026418	1121	1	986	0	120	0	206	1
HE_COMP246691_C1_SEQ1.138-972|SPU_020797	25	6	22	0	7	0	2	0
HE_COMP243385_C1_SEQ2.1410-1724|SPU_004423	0	0	0	0	13	0	6	0
HE_COMP237064_C10_SEQ3.72-114|UNKNOWN	0	0	0	0	0	0	2	0
HE_COMP240397_C4_SEQ3.0-531|SPU_028130	146	0	155	15	8	0	2	0
HE_COMP239343_C0_SEQ1.5-44|UNKNOWN	3	9	7	1	4	2	3	2
HE_CONTIG5253|SPU_009990	0	0	0	0	0	0	9	0
HE_CONTIG3081|SPU_018320	0	0	0	0	0	0	8	0
HE_CONTIG1891|SPU_007127	100	26	163	4	49	0	49	19
HE_CONTIG2000|SPU_012262	1381	334	3207	165	56	0	734	319
HE_FRAG5896.1137-1374|SPU_014287	0	0	0	0	0	0	12	0
HE_FRAG5473.24-837|SPU_014260	246	57	166	10	0	0	43	3
HE_COMP244785_C1_SEQ4.0-993|SPU_027174	33	0	62	0	4	0	24	0
HE_CONTIG4207|SPU_026708	59	0	83	0	0	0	42	0
HE_FRAG316.178-226|UNKNOWN	0	0	0	0	0	0	0	0
HE_FRAG5793.72-1272|SPU_014460	151	46	371	1	0	0	84	24
HE_FRAG6624.2-1680|SPU_023952	116	10	54	3	4	0	20	1
HE_CONTIG1866|SPU_009879	63	0	166	0	0	0	3	0
HE_FRAG14673.62-599|SPU_006174	26	5	35	1	1	0	12	0
HE_CONTIG1118|SPU_023355	206	33	177	10	4	0	66	37
HE_COMP242580_C3_SEQ1.0-288|SPU_026362	30	0	37	0	0	0	0	0
HE_COMP239160_C4_SEQ1.0-1776|SPU_009647	410	7	448	17	14	1	45	6
HE_CONTIG5012|SPU_012342	69	6	188	0	3	0	15	9
HE_COMP239002_C2_SEQ1.0-2823|SPU_008966	426	12	364	21	10	0	94	7
HE_CONTIG2358|SPU_021991	67	0	224	50	1	2	28	11
HE_COMP240801_C1_SEQ1.60-1803|SPU_015902	983	293	725	100	0	0	352	84
HE_COMP236522_C3_SEQ10.118-160|UNKNOWN	0	0	2	3	9	2	4	6
HE_COMP231113_C0_SEQ1.39-1539|SPU_020012	99	27	61	4	2	0	34	9
HE_FRAG7276.240-3306|SPU_001785	1311	231	839	89	1	0	153	202
HE_CONTIG2105|SPU_017120	0	0	0	0	0	0	64	0
HE_FRAG1204.10-58|UNKNOWN	0	0	0	0	0	0	0	0
HE_CONTIG2705|UNKNOWN	0	0	0	0	0	0	12	0
HE_COMP232533_C0_SEQ1.309-780|SPU_028302	3	0	4	0	0	0	18	0
HE_CONTIG3100|SPU_017709	3	4	50	8	0	2	66	37
HE_CONTIG2670|SPU_007267	12	0	39	11	1	0	2	0
HE_CONTIG4248|SPU_015084	21	0	11	0	0	0	1	0
HE_FRAG16037.2094-3536|SPU_019287	152	30	121	7	0	0	92	46
HE_FRAG13798.0-984|SPU_011658	221	4	40	0	19	0	24	0
HE_FRAG1868.78-2525|SPU_007386	469	119	683	26	32	5	114	12
HE_FRAG7023.19-1233|SPU_018702	425	56	405	12	0	0	44	42
HE_FRAG21999.0-7617|SPU_028833	148	25	132	2	19	1	224	19
HE_CONTIG2680|UNKNOWN	0	0	0	0	0	0	2	0
HE_FRAG23230.0-1472|SPU_014424	0	0	0	0	0	0	49	0
HE_CONTIG1781|SPU_017029	51	29	103	12	6	0	25	9
HE_COMP232859_C6_SEQ1.0-1329|SPU_008239	36	3	46	0	0	0	19	1
HE_FRAG16370.3-711|SPU_018090	65	18	37	15	0	0	46	64
HE_COMP233676_C3_SEQ2.98-1568|SPU_018372	88	1	272	28	4	0	41	23
HE_FRAG259.1415-1700|UNKNOWN	44	7	32	0	0	0	7	0
HE_FRAG4895.216-1263|SPU_024723	106	0	115	0	0	0	23	0
HE_COMP229741_C0_SEQ2.0-2211|SPU_022450	102	2	121	11	7	0	35	0
HE_FRAG9574.261-2436|SPU_016327	209	32	228	6	11	2	54	11
HE_FRAG10995.1818-1941|SPU_017911	0	0	0	0	0	0	3	0
HE_COMP230358_C1_SEQ3.63-249|UNKNOWN	0	0	0	0	0	0	14	0
HE_FRAG17700.2-4004|SPU_018720	118	20	111	14	7	1	77	19
HE_COMP243031_C6_SEQ3.44-107|UNKNOWN	0	0	0	0	0	0	0	0
HE_CONTIG3045|UNKNOWN	2	41	8	1	0	0	8	18
HE_CONTIG4514|SPU_016903	34	0	45	0	3	0	31	25
HE_FRAG11691.0-1227|UNKNOWN	5	0	12	0	12	0	49	0
HE_CONTIG2050|SPU_015574	24	0	2	0	0	0	17	1
HE_COMP237738_C0_SEQ1.0-1146|SPU_006308	455	65	507	41	26	7	178	66
