GENE	he	he+N	ht	ht+N	UNINFORMATIVE	UNINFORMATIVE+N	UNK	UNK+N
HE_FRAG5337.3-2373|SPU_007007	89	5	184	37	17	0	21	8
HE_FRAG13737.0-1110|SPU_004203	487	0	242	3	19	0	72	0
HE_COMP231761_C9_SEQ1.23-1529|SPU_017842	152	0	142	3	0	0	8	0
HE_CONTIG4779|SPU_018178	1	0	0	0	0	0	8	48
HE_FRAG13753.1659-2100|SPU_020214	155	26	84	0	22	0	9	8
HE_COMP230434_C1_SEQ1.0-872|SPU_002184	60	14	24	0	2	0	15	0
HE_CONTIG2285|SPU_019377	259	98	110	2	26	0	104	136
HE_FRAG14895.3-5836|SPU_000212	443	33	249	2	1	0	43	12
HE_COMP234152_C1_SEQ3.255-407|SPU_024859	141	0	93	0	58	0	20	0
HE_COMP227635_C0_SEQ1.100-248|UNKNOWN	0	0	0	0	0	0	1	0
HE_FRAG13543.95-278|SPU_008833	1	0	2	0	0	0	3	12
HE_COMP241500_C1_SEQ1.0-1941|SPU_030224	147	10	96	10	11	1	36	8
HE_FRAG13578.33-1190|SPU_017470	301	24	150	37	14	0	54	5
HE_COMP247261_C2_SEQ11.0-708|SPU_022355	1111	0	1730	0	2	0	406	0
HE_CONTIG157|SPU_014886	22	12	36	0	101	1	12	0
HE_CONTIG3659|SPU_014519	0	0	102	0	3	0	37	0
HE_COMP231570_C8_SEQ2.3-39|UNKNOWN	0	0	0	0	0	0	1	0
HE_COMP228741_C2_SEQ2.0-210|SPU_017960	0	0	0	0	0	0	2	0
HE_FRAG22924.3-13107|SPU_017733	1357	257	1244	151	20	0	321	133
HE_COMP237265_C2_SEQ1.119-155|UNKNOWN	0	0	0	0	0	0	0	0
HE_COMP237710_C7_SEQ1.2472-2739|SPU_005844	0	0	0	0	0	0	0	0
HE_CONTIG5111|SPU_015151	281	6	189	1	0	0	2	1
HE_CONTIG708|UNKNOWN	13	0	1	0	0	0	11	0
HE_CONTIG108|SPU_018962	434	59	141	1	22	0	60	0
HE_CONTIG2659|SPU_002174	281	0	83	2	0	0	60	2
HE_FRAG7415.1026-1242|UNKNOWN	0	0	0	0	0	0	6	0
HE_FRAG1022.505-602|UNKNOWN	508	0	146	0	2	0	71	0
HE_COMP238616_C0_SEQ1.0-442|SPU_014751	350	181	507	0	134	15	138	25
HE_COMP223776_C1_SEQ1.845-1097|SPU_014487	0	0	0	0	0	0	1	0
HE_CONTIG940|SPU_028807	33	0	46	0	0	0	44	0
HE_CONTIG1893|SPU_025927	195	0	119	0	0	0	7	0
HE_CONTIG2056|SPU_002018	128	19	22	0	2	0	14	2
HE_FRAG8342.2034-2124|UNKNOWN	7	0	5	0	0	0	1	0
HE_COMP231098_C0_SEQ1.0-1059|SPU_006060	59	0	14	0	4	0	9	0
HE_FRAG14087.2-824|UNKNOWN	33	0	37	0	0	0	1	11
HE_CONTIG3897|SPU_008199	576	98	406	10	129	23	115	35
HE_CONTIG4028|SPU_019712	267	62	118	0	20	6	71	37
HE_COMP230816_C5_SEQ1.117-174|UNKNOWN	3	0	0	0	1	0	3	1
HE_COMP236051_C4_SEQ1.0-3213|SPU_012202	508	17	304	0	144	0	57	0
HE_COMP241141_C1_SEQ3.785-1700|SPU_017307	1225	71	831	27	10	0	98	0
HE_COMP227882_C0_SEQ1.0-120|SPU_020423	0	0	0	0	0	0	1	0
HE_COMP234539_C8_SEQ1.41-80|UNKNOWN	0	0	0	0	0	0	2	0
HE_FRAG3151.0-1623|SPU_023091	282	44	61	3	0	0	48	4
HE_FRAG9113.0-1562|SPU_007283	4693	795	1937	88	878	49	781	100
HE_COMP232501_C6_SEQ1.169-603|SPU_022056	2140	50	1087	132	10	0	135	727
HE_COMP230809_C1_SEQ4.63-900|SPU_007801	163	43	425	34	9	7	39	51
HE_FRAG9209.282-2436|SPU_014406	110	6	60	0	30	1	56	0
HE_FRAG16808.0-3141|SPU_027144	504	111	346	37	4	2	95	24
HE_CONTIG1735|SPU_017329	3	0	0	0	0	0	6	3
HE_COMP237584_C4_SEQ1.140-605|SPU_019092	28	9	65	16	8	0	39	11
HE_COMP242907_C1_SEQ14.108-219|SPU_003753	14	0	2	0	0	0	2	0
HE_CONTIG842|UNKNOWN	1	1	5	0	0	1	0	0
HE_COMP230508_C3_SEQ4.0-209|SPU_021511	0	0	0	0	0	0	0	0
HE_CONTIG2112|SPU_006000	1	1	2	0	0	0	16	32
HE_CONTIG652|SPU_026970	119	20	230	15	24	1	22	29
HE_FRAG11793.156-989|SPU_012304	97	6	37	0	0	0	4	0
HE_CONTIG4448|UNKNOWN	0	0	0	0	0	0	1	0
HE_CONTIG2569|UNKNOWN	0	1	1	1	0	1	2	11
HE_FRAG4664.0-2904|SPU_007862	701	60	370	23	32	1	188	61
HE_COMP247031_C14_SEQ1.0-1293|SPU_025816	76	0	237	45	3	0	15	14
HE_CONTIG3906|SPU_005984	0	0	0	0	0	0	9	0
HE_COMP231595_C0_SEQ1.3-552|SPU_001825	21	41	230	16	53	0	14	14
HE_CONTIG1271|SPU_006246	0	0	0	0	0	0	9	0
HE_FRAG85.0-597|SPU_024110	0	0	0	0	0	0	75	0
HE_CONTIG4013|SPU_016331	166	22	219	15	15	3	54	25
HE_COMP231530_C0_SEQ1.146-200|UNKNOWN	10	1	1	0	0	0	3	13
HE_FRAG3293.0-1467|SPU_019333	667	74	235	55	32	10	38	6
HE_FRAG2753.246-1866|SPU_019289	119	6	105	0	1	0	37	14
HE_FRAG1310.0-3183|SPU_017326	499	29	740	31	41	4	60	6
HE_FRAG3276.0-1314|SPU_018530	872	0	326	0	330	0	130	0
HE_COMP246182_C5_SEQ1.8-290|SPU_005239	0	0	0	0	0	0	2	0
HE_CONTIG141|UNKNOWN	108	31	84	24	5	4	2	1
HE_COMP246646_C0_SEQ1.2-368|SPU_004713	73	1	6	0	0	0	19	0
HE_FRAG18958.1137-1218|UNKNOWN	13	0	0	0	0	0	0	0
HE_COMP241601_C2_SEQ1.351-903|SPU_026807	61	0	99	14	2	0	6	0
HE_FRAG10632.0-1275|SPU_003066	207	16	64	3	5	0	33	3
HE_FRAG6416.12-1464|UNKNOWN	129	7	95	0	2	0	1	1
HE_COMP239702_C1_SEQ1.0-31|UNKNOWN	0	0	0	0	0	0	2	0
HE_FRAG17309.0-651|SPU_003635	35	23	3	0	0	0	24	57
HE_COMP236912_C6_SEQ8.2-34|UNKNOWN	0	0	0	0	0	0	0	0
HE_FRAG5894.0-777|SPU_022326	15	1	28	4	3	3	10	1
HE_COMP246707_C6_SEQ1.111-153|UNKNOWN	0	26	5	0	26	23	8	2
HE_FRAG3745.57-414|SPU_018678	12	0	10	0	0	0	2	0
HE_COMP241685_C0_SEQ1.0-1271|UNKNOWN	122	2	75	21	6	0	33	20
HE_FRAG6806.0-666|SPU_024040	190	70	158	15	30	17	68	0
HE_FRAG14106.0-2090|SPU_022809	235	66	168	7	46	7	29	5
HE_FRAG12591.0-2013|SPU_010585	539	3	463	13	130	3	52	34
HE_COMP231605_C2_SEQ1.360-450|UNKNOWN	0	0	0	0	0	0	0	0
HE_FRAG942.0-747|SPU_013197	197	24	21	0	0	0	6	1
HE_CONTIG670|SPU_019187	0	0	0	0	0	0	2	0
HE_CONTIG3190|SPU_008160	87	0	380	17	15	0	19	0
HE_CONTIG3008|SPU_014492	16	0	58	0	8	0	4	0
HE_COMP236380_C6_SEQ1.22-54|UNKNOWN	1	0	1	0	8	0	12	4
HE_COMP242615_C2_SEQ2.230-263|UNKNOWN	0	0	0	0	0	0	0	0
HE_COMP225147_C0_SEQ1.0-285|SPU_000684	0	0	0	0	0	0	7	0
HE_FRAG1788.0-1500|SPU_012560	166	41	216	0	69	3	11	7
HE_COMP238551_C1_SEQ20.206-242|UNKNOWN	0	0	0	0	0	0	0	0
HE_COMP233392_C2_SEQ1.90-161|UNKNOWN	0	0	4	11	0	3	14	45
HE_COMP241956_C4_SEQ1.71-521|SPU_023941	42	0	50	0	0	0	1	0
HE_FRAG23184.1965-2285|SPU_027006	0	0	0	0	0	0	5	0
HE_COMP240897_C3_SEQ1.749-1010|UNKNOWN	0	0	0	0	0	0	1	0
HE_FRAG6220.120-168|UNKNOWN	10	0	10	0	0	1	4	3
HE_COMP236773_C4_SEQ5.12-52|UNKNOWN	0	0	0	0	0	0	2	0
HE_COMP234537_C0_SEQ1.30-321|SPU_024592	0	0	0	0	0	0	22	0
HE_COMP245464_C0_SEQ1.465-4995|SPU_023044	860	162	1292	178	20	0	159	30
HE_FRAG21698.1422-4683|SPU_018809	203	34	223	1	30	1	45	11
HE_COMP242449_C0_SEQ1.389-497|UNKNOWN	0	2	4	0	0	0	1	0
HE_FRAG7262.2-1728|SPU_019701	253	15	44	1	11	0	46	12
HE_COMP229236_C0_SEQ1.162-435|SPU_005055	0	0	0	0	0	0	2	0
HE_COMP246564_C1_SEQ3.0-1812|SPU_010488	240	29	286	22	14	0	34	3
HE_FRAG13924.160-2322|SPU_017583	145	2	57	4	6	5	18	2
HE_COMP232655_C8_SEQ7.42-87|UNKNOWN	0	0	0	0	0	0	2	0
HE_CONTIG4061|SPU_014140	2432	6	3037	9	33	0	499	288
HE_COMP241780_C1_SEQ5.0-60|UNKNOWN	0	0	0	0	0	0	2	0
HE_FRAG16042.0-1950|SPU_019287	283	35	128	0	1	0	40	23
HE_CONTIG1907|SPU_004916	0	0	0	0	0	0	1	0
HE_COMP233789_C2_SEQ1.2-53|UNKNOWN	5	3	1	1	3	0	31	115
HE_FRAG574.1-1472|SPU_026418	1110	138	1139	19	104	30	234	24
HE_COMP246691_C1_SEQ1.138-972|SPU_020797	41	7	50	0	11	0	9	3
HE_COMP243385_C1_SEQ2.1410-1724|SPU_004423	18	0	17	0	2	0	4	0
HE_COMP237064_C10_SEQ3.72-114|UNKNOWN	0	0	0	0	0	0	5	0
HE_COMP240397_C4_SEQ3.0-531|SPU_028130	253	0	169	23	7	0	28	0
HE_COMP239343_C0_SEQ1.5-44|UNKNOWN	4	0	1	0	3	1	0	1
HE_CONTIG5253|SPU_009990	0	0	0	0	0	0	15	0
HE_CONTIG3081|SPU_018320	0	0	0	0	0	0	10	0
HE_CONTIG1891|SPU_007127	172	5	31	5	18	0	30	9
HE_CONTIG2000|SPU_012262	1175	16	2462	233	27	0	99	143
HE_FRAG5896.1137-1374|SPU_014287	0	0	0	0	0	0	12	0
HE_FRAG5473.24-837|SPU_014260	77	11	50	0	0	0	18	12
HE_COMP244785_C1_SEQ4.0-993|SPU_027174	40	1	58	0	19	0	24	0
HE_CONTIG4207|SPU_026708	42	9	94	0	0	0	17	1
HE_FRAG316.178-226|UNKNOWN	0	0	0	0	0	0	0	0
HE_FRAG5793.72-1272|SPU_014460	98	16	106	0	0	0	29	25
HE_FRAG6624.2-1680|SPU_023952	172	6	80	0	0	0	11	0
HE_CONTIG1866|SPU_009879	0	0	94	0	17	0	8	0
HE_FRAG14673.62-599|SPU_006174	103	7	39	0	0	0	3	0
HE_CONTIG1118|SPU_023355	157	57	307	18	9	3	35	31
HE_COMP242580_C3_SEQ1.0-288|SPU_026362	23	0	30	0	0	0	1	0
HE_COMP239160_C4_SEQ1.0-1776|SPU_009647	448	10	659	37	21	0	25	15
HE_CONTIG5012|SPU_012342	46	0	5	0	1	0	17	0
HE_COMP239002_C2_SEQ1.0-2823|SPU_008966	513	49	1142	77	70	2	107	52
HE_CONTIG2358|SPU_021991	55	0	394	68	16	0	51	10
HE_COMP240801_C1_SEQ1.60-1803|SPU_015902	388	291	414	63	1	0	345	165
HE_COMP236522_C3_SEQ10.118-160|UNKNOWN	0	0	0	1	9	2	3	5
HE_COMP231113_C0_SEQ1.39-1539|SPU_020012	49	18	39	7	0	0	15	5
HE_FRAG7276.240-3306|SPU_001785	3236	199	1631	111	3	0	178	47
HE_CONTIG2105|SPU_017120	0	0	0	0	0	0	3	0
HE_FRAG1204.10-58|UNKNOWN	0	0	0	0	0	0	1	0
HE_CONTIG2705|UNKNOWN	3	0	1	0	0	0	1	1
HE_COMP232533_C0_SEQ1.309-780|SPU_028302	23	0	12	1	0	0	5	0
