GENE	he	he+N	ht	ht+N	UNINFORMATIVE	UNINFORMATIVE+N	UNK	UNK+N
HE_FRAG5337.3-2373|SPU_007007	405	18	198	28	19	5	9	19
HE_FRAG13737.0-1110|SPU_004203	525	39	131	3	15	2	70	36
HE_COMP231761_C9_SEQ1.23-1529|SPU_017842	121	4	350	2	0	0	10	10
HE_CONTIG4779|SPU_018178	0	0	0	0	0	0	9	11
HE_FRAG13753.1659-2100|SPU_020214	73	26	109	0	17	0	15	15
HE_COMP230434_C1_SEQ1.0-872|SPU_002184	199	24	110	5	2	0	28	19
HE_CONTIG2285|SPU_019377	216	46	173	0	12	0	43	29
HE_FRAG14895.3-5836|SPU_000212	470	36	214	15	4	0	63	16
HE_COMP234152_C1_SEQ3.255-407|SPU_024859	29	32	40	0	12	17	9	0
HE_COMP227635_C0_SEQ1.100-248|UNKNOWN	0	0	0	0	0	0	2	0
HE_FRAG13543.95-278|SPU_008833	0	0	2	1	0	0	3	14
HE_COMP241500_C1_SEQ1.0-1941|SPU_030224	271	24	63	5	15	0	28	18
HE_FRAG13578.33-1190|SPU_017470	229	25	59	4	29	0	7	1
HE_COMP247261_C2_SEQ11.0-708|SPU_022355	921	5	693	0	0	0	170	1
HE_CONTIG157|SPU_014886	301	76	360	0	629	4	52	0
HE_CONTIG3659|SPU_014519	0	0	0	0	0	0	5	0
HE_COMP231570_C8_SEQ2.3-39|UNKNOWN	0	0	0	0	0	0	0	0
HE_COMP228741_C2_SEQ2.0-210|SPU_017960	0	0	0	0	0	0	16	0
HE_FRAG22924.3-13107|SPU_017733	4334	584	3751	100	49	0	876	213
HE_COMP237265_C2_SEQ1.119-155|UNKNOWN	0	0	0	0	0	0	0	0
HE_COMP237710_C7_SEQ1.2472-2739|SPU_005844	0	0	0	0	0	0	1	0
HE_CONTIG5111|SPU_015151	465	17	341	4	0	0	24	5
HE_CONTIG708|UNKNOWN	1	0	2	0	0	0	11	0
HE_CONTIG108|SPU_018962	1335	244	751	35	112	5	59	3
HE_CONTIG2659|SPU_002174	479	52	56	3	0	0	28	1
HE_FRAG7415.1026-1242|UNKNOWN	0	0	0	0	0	0	17	0
HE_FRAG1022.505-602|UNKNOWN	953	0	140	0	0	0	2	0
HE_COMP238616_C0_SEQ1.0-442|SPU_014751	1213	226	632	10	388	103	215	199
HE_COMP223776_C1_SEQ1.845-1097|SPU_014487	0	0	0	0	0	0	0	0
HE_CONTIG940|SPU_028807	32	2	129	3	5	1	15	3
HE_CONTIG1893|SPU_025927	357	16	62	4	0	0	16	0
HE_CONTIG2056|SPU_002018	195	46	29	6	2	0	19	0
HE_FRAG8342.2034-2124|UNKNOWN	0	0	0	0	0	0	1	0
HE_COMP231098_C0_SEQ1.0-1059|SPU_006060	149	22	15	0	18	0	9	0
HE_FRAG14087.2-824|UNKNOWN	0	0	0	0	0	0	32	0
HE_CONTIG3897|SPU_008199	847	168	559	21	151	31	174	27
HE_CONTIG4028|SPU_019712	565	169	31	0	38	14	211	154
HE_COMP230816_C5_SEQ1.117-174|UNKNOWN	1	0	1	6	1	0	1	0
HE_COMP236051_C4_SEQ1.0-3213|SPU_012202	1434	106	964	1	493	21	164	19
HE_COMP241141_C1_SEQ3.785-1700|SPU_017307	2409	303	2649	78	20	0	78	0
HE_COMP227882_C0_SEQ1.0-120|SPU_020423	0	0	0	0	0	0	1	0
HE_COMP234539_C8_SEQ1.41-80|UNKNOWN	0	0	0	0	0	0	3	0
HE_FRAG3151.0-1623|SPU_023091	126	4	42	3	0	0	20	7
HE_FRAG9113.0-1562|SPU_007283	262	22	131	0	57	5	28	0
HE_COMP232501_C6_SEQ1.169-603|SPU_022056	3786	130	654	106	17	0	159	1564
HE_COMP230809_C1_SEQ4.63-900|SPU_007801	127	26	20	1	9	0	11	13
HE_FRAG9209.282-2436|SPU_014406	0	0	0	0	0	0	24	0
HE_FRAG16808.0-3141|SPU_027144	694	160	276	35	10	0	130	37
HE_CONTIG1735|SPU_017329	33	0	0	0	7	0	33	30
HE_COMP237584_C4_SEQ1.140-605|SPU_019092	58	8	15	0	2	0	21	4
HE_COMP242907_C1_SEQ14.108-219|SPU_003753	6	0	0	0	0	0	2	4
HE_CONTIG842|UNKNOWN	1	0	23	0	1	0	3	1
HE_COMP230508_C3_SEQ4.0-209|SPU_021511	0	0	0	0	0	0	1	0
HE_CONTIG2112|SPU_006000	0	1	2	0	3	0	15	48
HE_CONTIG652|SPU_026970	40	18	90	6	9	7	15	4
HE_FRAG11793.156-989|SPU_012304	0	0	0	0	0	0	45	0
HE_CONTIG4448|UNKNOWN	0	0	0	0	0	0	3	0
HE_CONTIG2569|UNKNOWN	4	2	10	1	0	0	4	15
HE_FRAG4664.0-2904|SPU_007862	323	18	218	15	22	1	129	20
HE_COMP247031_C14_SEQ1.0-1293|SPU_025816	74	0	432	32	2	0	25	38
HE_CONTIG3906|SPU_005984	0	0	0	0	0	0	6	0
HE_COMP231595_C0_SEQ1.3-552|SPU_001825	214	143	933	0	179	0	73	2
HE_CONTIG1271|SPU_006246	0	0	0	0	0	0	8	0
HE_FRAG85.0-597|SPU_024110	0	0	0	0	0	0	21	0
HE_CONTIG4013|SPU_016331	426	145	539	49	34	21	164	131
HE_COMP231530_C0_SEQ1.146-200|UNKNOWN	3	0	3	0	0	0	10	5
HE_FRAG3293.0-1467|SPU_019333	661	143	91	13	35	7	111	34
HE_FRAG2753.246-1866|SPU_019289	314	6	146	5	2	0	52	12
HE_FRAG1310.0-3183|SPU_017326	326	6	122	0	24	2	29	0
HE_FRAG3276.0-1314|SPU_018530	1352	71	92	1	301	29	117	20
HE_COMP246182_C5_SEQ1.8-290|SPU_005239	0	0	0	0	0	0	3	0
HE_CONTIG141|UNKNOWN	166	9	51	0	13	2	3	1
HE_COMP246646_C0_SEQ1.2-368|SPU_004713	426	107	14	0	0	0	149	2
HE_FRAG18958.1137-1218|UNKNOWN	34	0	2	0	0	0	0	0
HE_COMP241601_C2_SEQ1.351-903|SPU_026807	45	7	11	1	0	0	9	1
HE_FRAG10632.0-1275|SPU_003066	308	40	562	76	24	2	152	34
HE_FRAG6416.12-1464|UNKNOWN	208	24	42	0	0	0	15	9
HE_COMP239702_C1_SEQ1.0-31|UNKNOWN	0	0	0	0	0	0	2	0
HE_FRAG17309.0-651|SPU_003635	181	80	41	2	0	0	58	234
HE_COMP236912_C6_SEQ8.2-34|UNKNOWN	0	0	0	0	0	0	0	0
HE_FRAG5894.0-777|SPU_022326	9	1	5	0	11	3	26	0
HE_COMP246707_C6_SEQ1.111-153|UNKNOWN	31	7	15	0	48	20	34	10
HE_FRAG3745.57-414|SPU_018678	42	30	5	0	0	0	7	0
HE_COMP241685_C0_SEQ1.0-1271|UNKNOWN	286	8	111	20	12	0	85	37
HE_FRAG6806.0-666|SPU_024040	552	254	213	0	69	27	124	17
HE_FRAG14106.0-2090|SPU_022809	468	54	370	0	90	2	31	17
HE_FRAG12591.0-2013|SPU_010585	578	65	392	129	162	10	144	95
HE_COMP231605_C2_SEQ1.360-450|UNKNOWN	0	0	0	0	0	0	2	0
HE_FRAG942.0-747|SPU_013197	307	55	15	0	0	0	6	6
HE_CONTIG670|SPU_019187	0	0	0	0	0	0	2	0
HE_CONTIG3190|SPU_008160	3	0	10	0	0	0	132	0
HE_CONTIG3008|SPU_014492	0	0	0	0	0	0	31	0
HE_COMP236380_C6_SEQ1.22-54|UNKNOWN	0	1	1	0	19	0	10	11
HE_COMP242615_C2_SEQ2.230-263|UNKNOWN	0	0	0	0	0	0	0	0
HE_COMP225147_C0_SEQ1.0-285|SPU_000684	0	0	0	0	0	0	1	0
HE_FRAG1788.0-1500|SPU_012560	295	7	196	0	79	0	30	0
HE_COMP238551_C1_SEQ20.206-242|UNKNOWN	0	0	0	0	0	0	0	0
HE_COMP233392_C2_SEQ1.90-161|UNKNOWN	0	2	1	5	0	2	21	53
HE_COMP241956_C4_SEQ1.71-521|SPU_023941	128	0	89	10	0	0	0	0
HE_FRAG23184.1965-2285|SPU_027006	0	0	0	0	0	0	26	0
HE_COMP240897_C3_SEQ1.749-1010|UNKNOWN	0	0	0	0	0	0	1	0
HE_FRAG6220.120-168|UNKNOWN	49	8	5	0	0	0	7	3
HE_COMP236773_C4_SEQ5.12-52|UNKNOWN	0	0	0	0	0	0	1	0
HE_COMP234537_C0_SEQ1.30-321|SPU_024592	0	0	0	0	0	0	11	0
HE_COMP245464_C0_SEQ1.465-4995|SPU_023044	1397	284	2151	227	44	4	276	87
HE_FRAG21698.1422-4683|SPU_018809	145	10	59	2	10	0	40	14
HE_COMP242449_C0_SEQ1.389-497|UNKNOWN	0	0	0	0	0	0	6	0
HE_FRAG7262.2-1728|SPU_019701	120	1	20	0	5	0	23	4
HE_COMP229236_C0_SEQ1.162-435|SPU_005055	0	0	0	0	0	0	0	0
HE_COMP246564_C1_SEQ3.0-1812|SPU_010488	196	15	224	27	10	0	47	10
HE_FRAG13924.160-2322|SPU_017583	152	11	36	1	15	1	21	2
HE_COMP232655_C8_SEQ7.42-87|UNKNOWN	0	0	0	0	0	0	3	0
HE_CONTIG4061|SPU_014140	2278	3	505	0	6	0	894	54
HE_COMP241780_C1_SEQ5.0-60|UNKNOWN	0	0	0	0	0	0	4	0
HE_FRAG16042.0-1950|SPU_019287	401	96	136	2	0	0	63	31
HE_CONTIG1907|SPU_004916	0	0	0	0	0	0	3	0
HE_COMP233789_C2_SEQ1.2-53|UNKNOWN	0	34	1	1	5	3	8	73
HE_FRAG574.1-1472|SPU_026418	1125	53	775	40	80	20	232	11
HE_COMP246691_C1_SEQ1.138-972|SPU_020797	222	45	3	0	7	11	53	7
HE_COMP243385_C1_SEQ2.1410-1724|SPU_004423	0	0	0	0	0	0	25	0
HE_COMP237064_C10_SEQ3.72-114|UNKNOWN	0	0	0	0	0	0	5	0
HE_COMP240397_C4_SEQ3.0-531|SPU_028130	227	0	173	69	10	5	4	2
HE_COMP239343_C0_SEQ1.5-44|UNKNOWN	8	1	9	0	6	0	4	1
HE_CONTIG5253|SPU_009990	0	0	0	0	0	0	6	0
HE_CONTIG3081|SPU_018320	29	0	6	0	2	0	13	0
HE_CONTIG1891|SPU_007127	125	22	17	1	16	7	9	23
HE_CONTIG2000|SPU_012262	1314	39	1940	225	42	0	239	44
HE_FRAG5896.1137-1374|SPU_014287	10	0	0	0	4	0	0	0
HE_FRAG5473.24-837|SPU_014260	102	26	12	0	0	0	54	0
HE_COMP244785_C1_SEQ4.0-993|SPU_027174	79	8	40	0	10	20	39	7
HE_CONTIG4207|SPU_026708	97	4	34	0	0	0	28	1
HE_FRAG316.178-226|UNKNOWN	0	0	0	0	0	0	0	0
HE_FRAG5793.72-1272|SPU_014460	354	71	57	0	0	0	81	48
HE_FRAG6624.2-1680|SPU_023952	121	12	153	3	0	0	18	0
HE_CONTIG1866|SPU_009879	249	0	1	0	0	0	3	0
HE_FRAG14673.62-599|SPU_006174	181	26	94	6	5	0	11	0
HE_CONTIG1118|SPU_023355	401	50	1068	255	4	9	243	234
HE_COMP242580_C3_SEQ1.0-288|SPU_026362	34	0	39	0	0	0	1	0
HE_COMP239160_C4_SEQ1.0-1776|SPU_009647	304	55	322	23	11	0	52	2
HE_CONTIG5012|SPU_012342	121	0	4	0	0	0	9	4
HE_COMP239002_C2_SEQ1.0-2823|SPU_008966	1171	39	1910	154	29	0	247	42
HE_CONTIG2358|SPU_021991	164	0	19	2	4	0	7	0
HE_COMP240801_C1_SEQ1.60-1803|SPU_015902	582	120	586	26	2	0	196	49
HE_COMP236522_C3_SEQ10.118-160|UNKNOWN	1	0	2	1	9	1	4	7
HE_COMP231113_C0_SEQ1.39-1539|SPU_020012	200	55	164	13	0	0	46	13
HE_FRAG7276.240-3306|SPU_001785	1681	340	4466	404	6	1	259	96
HE_CONTIG2105|SPU_017120	0	0	0	0	0	0	20	0
HE_FRAG1204.10-58|UNKNOWN	0	0	0	0	0	0	0	0
HE_CONTIG2705|UNKNOWN	3	1	0	0	0	0	2	1
HE_COMP232533_C0_SEQ1.309-780|SPU_028302	188	0	18	0	0	0	22	4
HE_CONTIG3100|SPU_017709	29	6	106	23	2	4	83	159
HE_CONTIG2670|SPU_007267	72	0	80	0	0	0	5	2
HE_CONTIG4248|SPU_015084	53	21	223	0	0	0	45	11
HE_FRAG16037.2094-3536|SPU_019287	222	114	101	11	1	0	48	67
HE_FRAG13798.0-984|SPU_011658	230	7	501	3	52	0	15	6
HE_FRAG1868.78-2525|SPU_007386	378	87	13	2	10	1	54	16
HE_FRAG7023.19-1233|SPU_018702	2755	296	323	8	1	0	103	201
HE_FRAG21999.0-7617|SPU_028833	179	23	454	80	19	0	185	83
HE_CONTIG2680|UNKNOWN	0	0	0	0	0	0	10	0
HE_FRAG23230.0-1472|SPU_014424	0	0	0	0	0	0	32	0
HE_CONTIG1781|SPU_017029	142	31	16	1	5	0	76	25
HE_COMP232859_C6_SEQ1.0-1329|SPU_008239	520	67	311	5	0	0	90	11
HE_FRAG16370.3-711|SPU_018090	50	108	11	13	0	0	59	133
HE_COMP233676_C3_SEQ2.98-1568|SPU_018372	34	0	418	186	4	0	190	109
HE_FRAG259.1415-1700|UNKNOWN	0	0	0	0	0	0	1	0
HE_FRAG4895.216-1263|SPU_024723	0	0	0	0	0	0	59	0
HE_COMP229741_C0_SEQ2.0-2211|SPU_022450	133	0	181	14	3	0	43	1
HE_FRAG9574.261-2436|SPU_016327	150	8	496	0	19	0	51	8
HE_FRAG10995.1818-1941|SPU_017911	0	0	0	0	0	0	19	0
HE_COMP230358_C1_SEQ3.63-249|UNKNOWN	0	0	0	0	0	0	0	0
HE_FRAG17700.2-4004|SPU_018720	29	7	17	0	3	0	143	0
HE_COMP243031_C6_SEQ3.44-107|UNKNOWN	0	0	0	0	0	0	0	0
HE_CONTIG3045|UNKNOWN	1	23	57	3	2	0	20	38
HE_CONTIG4514|SPU_016903	121	20	68	3	0	0	46	40
HE_FRAG11691.0-1227|UNKNOWN	24	0	47	0	7	0	23	0
HE_CONTIG2050|SPU_015574	0	0	0	0	0	0	27	0
HE_COMP237738_C0_SEQ1.0-1146|SPU_006308	340	74	268	13	22	5	78	34
HE_CONTIG4433|SPU_016842	42	0	6	0	0	0	5	0
HE_FRAG5580.0-5574|SPU_028726	119	2	110	0	4	1	54	5
HE_CONTIG605|SPU_026766	290	8	14	0	0	0	13	0
HE_CONTIG3145|SPU_024592	47	10	17	9	0	0	176	13
HE_COMP237427_C7_SEQ1.198-429|UNKNOWN	0	0	0	0	0	0	0	0
HE_FRAG8110.159-339|SPU_012492	0	0	0	0	0	0	9	0
HE_CONTIG407|UNKNOWN	0	1	0	3	0	0	3	481
HE_COMP241849_C0_SEQ2.74-116|UNKNOWN	0	0	0	0	0	0	1	0
HE_COMP197588_C0_SEQ1.3-162|SPU_011645	0	0	0	0	0	0	1	0
HE_FRAG22354.708-972|SPU_025759	0	0	0	0	0	0	1	0
HE_FRAG21789.450-2646|SPU_025763	65	9	1	0	11	0	337	0
HE_COMP241292_C1_SEQ1.0-298|SPU_015804	166	0	44	0	1	0	26	0
HE_FRAG18075.0-1791|SPU_020578	57	0	46	0	8	0	16	0
HE_FRAG820.117-255|SPU_019284	3	0	0	0	0	0	3	0
HE_CONTIG4434|SPU_024918	0	0	0	0	0	0	5	0
HE_CONTIG3669|SPU_015376	104	31	40	0	0	0	3	0
HE_COMP228979_C1_SEQ6.81-237|SPU_020272	0	0	0	0	0	0	2	0
HE_COMP234891_C5_SEQ1.200-342|SPU_017723	225	0	34	0	15	0	2	0
HE_FRAG6539.0-3570|SPU_021559	887	51	317	3	17	3	25	7
HE_COMP215986_C0_SEQ1.0-168|SPU_013237	0	0	0	0	0	0	0	0
HE_CONTIG1319|SPU_026337	374	58	398	2	20	0	35	0
HE_COMP228506_C0_SEQ1.76-119|UNKNOWN	0	0	0	0	0	0	1	0
HE_COMP209988_C0_SEQ1.78-540|SPU_025331	0	0	0	0	0	0	27	0
HE_CONTIG2941|SPU_023386	229	9	144	1	37	0	53	2
HE_FRAG9423.50-314|SPU_002802	5	0	7	0	3	0	13	9
HE_FRAG13811.659-2738|SPU_000324	22	2	8	1	17	0	61	8
HE_FRAG4783.0-2367|SPU_011065	1190	143	443	0	0	0	132	140
HE_CONTIG3783|SPU_000635	5	0	2	0	0	0	35	2
HE_FRAG15198.0-2124|SPU_005988	12	1	12	0	1	0	74	2
HE_COMP245612_C2_SEQ1.1-719|SPU_001690	400	0	83	0	84	0	49	2
HE_CONTIG5209|SPU_017029	173	6	20	3	23	0	27	0
HE_COMP239356_C1_SEQ2.0-1154|SPU_009455	394	38	53	0	142	19	89	10
HE_FRAG5175.621-879|SPU_008355	0	0	0	0	0	0	7	0
HE_FRAG18746.0-834|SPU_003139	527	165	24	2	117	16	100	26
HE_CONTIG4393|SPU_024463	14	6	0	0	0	0	10	33
HE_FRAG5653.89-1571|SPU_007945	762	32	276	0	18	0	65	6
HE_CONTIG5007|UNKNOWN	0	0	0	0	0	0	6	0
HE_CONTIG4008|SPU_009335	729	115	94	1	122	7	124	23
HE_CONTIG1626|SPU_013326	399	124	1557	0	0	0	71	8
HE_FRAG623.0-1536|SPU_009771	87	5	18	0	5	0	62	0
HE_CONTIG1650|UNKNOWN	354	520	22	24	0	1	303	2093
HE_FRAG22208.23-2066|SPU_007265	148	46	176	20	12	0	31	6
HE_FRAG10171.19-1608|SPU_014529	170	0	83	0	49	0	36	0
HE_FRAG14502.0-3903|SPU_026013	471	148	344	34	8	1	94	58
HE_CONTIG2437|SPU_014728	529	15	628	131	22	4	199	56
HE_COMP232671_C5_SEQ1.14-290|SPU_025983	0	0	4	0	1	0	1	12
HE_CONTIG905|UNKNOWN	0	0	0	0	0	0	9	0
HE_FRAG3861.0-2127|SPU_004819	751	291	555	37	37	11	209	145
HE_FRAG22214.1245-2550|SPU_027122	223	85	345	38	50	0	27	21
HE_COMP239451_C8_SEQ1.0-446|SPU_012345	2399	10	793	0	1	0	185	0
HE_COMP236681_C4_SEQ1.41-1511|SPU_025243	104	17	110	1	10	0	31	0
HE_CONTIG878|SPU_012099	0	0	0	0	0	0	1	0
HE_FRAG1417.0-1503|SPU_003632	180	14	182	8	0	0	63	1
HE_FRAG14480.0-3774|SPU_007008	4202	442	113	0	247	1	303	61
HE_FRAG9362.0-441|SPU_001402	230	0	89	30	19	0	69	10
HE_COMP247611_C2_SEQ1.0-3152|SPU_018068	85	4	433	69	8	0	39	3
HE_FRAG7601.83-800|SPU_023388	117	5	15	0	3	0	14	9
HE_COMP236703_C0_SEQ1.0-1662|SPU_003114	2479	44	3040	30	961	85	583	13
HE_FRAG5362.26-1298|SPU_001599	460	202	3	0	20	2	59	47
HE_FRAG7433.129-560|SPU_006043	699	251	81	4	6	0	20	41
HE_FRAG23288.0-6546|SPU_015529	168	57	8	1	24	7	88	13
HE_COMP242716_C0_SEQ1.75-225|UNKNOWN	0	0	0	0	0	0	7	0
HE_CONTIG4868|UNKNOWN	38	0	0	0	0	0	0	0
HE_CONTIG3381|SPU_007198	369	4	3	0	0	0	19	1
HE_FRAG20381.8-1233|SPU_019283	266	41	2	0	26	0	22	16
HE_FRAG17929.110-924|SPU_017355	220	45	83	0	7	0	3	6
HE_COMP233580_C8_SEQ2.0-1128|SPU_009726	35	0	137	5	1	0	0	0
HE_FRAG1305.642-1413|SPU_014985	7	0	54	13	3	0	19	41
HE_COMP243549_C0_SEQ1.36-660|SPU_012304	0	0	0	0	0	0	38	0
HE_FRAG5707.6-2820|SPU_010379	387	50	271	10	16	0	52	7
HE_CONTIG4015|SPU_023240	7	0	0	0	0	0	64	12
HE_FRAG8076.981-1587|SPU_009961	30	8	7	0	5	0	18	1
HE_CONTIG1654|SPU_024684	233	40	625	66	23	1	80	3
HE_CONTIG3961|SPU_020348	0	0	0	0	0	0	1	0
HE_FRAG2339.2-1127|SPU_010756	892	129	8	0	79	25	48	3
HE_CONTIG2602|SPU_015869	1104	66	520	68	65	0	178	72
HE_FRAG20681.23-2120|SPU_016467	236	108	63	25	23	14	67	182
HE_FRAG9957.147-525|SPU_000222	66	3	0	0	0	0	1	12
HE_FRAG2585.0-1314|SPU_020440	429	41	120	20	42	11	88	43
HE_FRAG8935.10-785|SPU_001778	2402	672	16096	10	1918	71	2877	1
HE_COMP238684_C4_SEQ1.9-942|SPU_023215	60	22	88	5	2	0	20	8
HE_COMP208451_C1_SEQ1.156-219|UNKNOWN	0	0	0	0	0	0	0	0
HE_CONTIG3894|SPU_009739	2369	118	1289	60	434	8	280	34
HE_CONTIG437|SPU_000941	0	0	0	0	0	0	52	0
HE_COMP235329_C0_SEQ1.99-1020|SPU_022363	219	13	32	0	0	0	17	0
HE_COMP240229_C6_SEQ1.53-90|UNKNOWN	0	0	0	0	0	0	3	0
HE_FRAG16757.411-1167|UNKNOWN	7	0	3	0	0	0	59	2
HE_COMP227746_C2_SEQ1.11-602|SPU_013485	0	0	0	0	0	0	1	0
HE_COMP239701_C2_SEQ5.0-432|SPU_017533	0	0	0	0	0	0	6	0
HE_CONTIG890|UNKNOWN	0	0	0	0	0	0	4	0
HE_CONTIG24|UNKNOWN	0	0	0	0	0	0	9	0
HE_COMP228557_C0_SEQ1.522-630|SPU_008956	0	0	0	0	0	0	12	0
HE_CONTIG1307|SPU_025385	0	0	0	0	0	0	1	0
HE_CONTIG4449|SPU_016473	0	0	0	0	0	0	3	0
HE_CONTIG980|UNKNOWN	0	4	0	1	0	2	0	468
HE_COMP242382_C3_SEQ1.1090-2418|SPU_028341	19	0	114	48	6	4	65	10
HE_CONTIG4230|SPU_010424	13890	738	13002	11	2804	0	1238	455
HE_CONTIG4101|SPU_002210	2085	163	6140	350	524	0	441	8
HE_CONTIG4549|UNKNOWN	8	5	2	0	0	0	1	0
HE_COMP246436_C3_SEQ1.24-843|SPU_024168	2368	349	389	30	286	0	52	0
HE_CONTIG2231|UNKNOWN	237	49	61	5	0	0	4	0
HE_CONTIG1194|UNKNOWN	46	0	15	0	0	0	5	0
HE_CONTIG3487|SPU_028935	67	0	12	14	2	0	33	2
HE_COMP234335_C3_SEQ1.38-1424|UNKNOWN	17	0	0	0	0	0	40	0
HE_COMP245279_C3_SEQ1.1-1004|SPU_025672	302	26	572	13	10	0	50	12
HE_COMP230317_C1_SEQ2.1548-1839|SPU_019963	36	6	11	0	1	0	7	2
HE_COMP242731_C5_SEQ1.302-336|UNKNOWN	0	0	0	0	0	0	0	0
HE_FRAG5946.152-1406|SPU_009427	213	39	289	18	8	1	46	17
HE_CONTIG3139|SPU_001395	613	77	797	152	25	1	262	211
HE_CONTIG1272|UNKNOWN	0	0	0	0	0	0	0	0
HE_COMP240654_C1_SEQ1.747-1185|SPU_002194	560	32	405	70	88	0	216	7
HE_COMP245789_C1_SEQ7.20-636|SPU_009517	187	0	101	8	0	0	4	0
HE_COMP232716_C8_SEQ5.14-65|UNKNOWN	4	129	0	28	0	10	15	223
HE_FRAG1569.2-2256|SPU_016101	2024	468	3533	214	166	21	153	50
HE_COMP222251_C0_SEQ1.0-207|SPU_027356	0	0	0	0	0	0	5	0
HE_FRAG7809.0-1056|SPU_013570	0	0	0	0	0	0	14	0
HE_COMP225486_C4_SEQ1.0-1023|SPU_024267	0	0	0	0	0	0	4	0
HE_FRAG14308.68-1059|SPU_026460	432	69	62	0	54	0	65	79
HE_CONTIG1524|SPU_012700	1542	2	331	0	138	0	67	49
HE_CONTIG3424|SPU_006054	120	12	50	1	29	0	103	9
HE_CONTIG786|SPU_028601	375	33	215	84	21	0	45	3
HE_FRAG269.57-873|SPU_027747	0	0	0	0	0	0	14	0
HE_COMP246845_C1_SEQ1.3-123|UNKNOWN	0	0	0	0	0	0	7	0
HE_COMP237553_C1_SEQ1.138-1032|SPU_006816	321	11	46	0	0	0	22	50
HE_COMP240558_C1_SEQ11.58-91|UNKNOWN	44	21	6	1	1	0	6	25
HE_FRAG23083.1908-2588|SPU_011423	80	27	23	2	18	0	44	8
HE_COMP243628_C1_SEQ1.353-422|UNKNOWN	4	0	8	0	0	0	2	1
HE_FRAG945.327-513|SPU_006004	0	0	0	0	0	0	3	0
HE_COMP245547_C4_SEQ1.1788-4260|SPU_014404	89	9	136	6	5	0	13	4
HE_CONTIG266|SPU_016027	218	108	7	0	83	2	0	0
HE_CONTIG1127|SPU_006606	158	0	98	0	4	0	65	0
HE_FRAG6948.3572-4034|SPU_014707	70	26	148	0	22	0	10	0
HE_COMP241374_C3_SEQ1.53-713|UNKNOWN	62	0	300	30	51	0	11	3
HE_COMP235512_C0_SEQ12.596-717|SPU_018429	2875	0	886	0	4	0	32	0
HE_COMP229903_C2_SEQ1.310-2346|SPU_004401	109	0	118	5	16	0	19	0
HE_FRAG1744.107-617|UNKNOWN	3233	94	1995	0	3	0	15	0
HE_COMP241253_C12_SEQ1.6-255|SPU_015635	3137	244	998	52	100	0	381	981
HE_CONTIG1103|SPU_008842	1777	347	17	1	2	2	224	140
HE_FRAG18997.390-481|UNKNOWN	0	0	0	0	0	0	2	0
HE_CONTIG1339|SPU_010847	982	199	142	0	58	0	117	37
HE_FRAG19612.126-369|SPU_003319	0	0	0	0	0	0	3	0
HE_FRAG1719.0-2333|SPU_005241	1651	228	522	6	93	10	208	178
HE_COMP244580_C7_SEQ1.135-178|UNKNOWN	0	0	0	0	0	0	1	0
HE_CONTIG3713|SPU_026487	1514	125	1023	0	72	0	114	6
HE_FRAG9846.0-2199|SPU_005702	48	0	20936	3611	1794	100	1022	27
HE_FRAG18964.6-1428|SPU_008908	1666	184	1126	4	10	0	403	12
HE_FRAG5438.21-1932|SPU_026553	272	16	159	14	0	1	36	2
HE_COMP229526_C0_SEQ1.0-325|SPU_028247	1814	231	1292	1	6	1	97	331
HE_COMP190168_C1_SEQ1.159-237|UNKNOWN	0	0	0	0	0	0	1	7
HE_COMP234619_C1_SEQ1.0-282|SPU_022107	0	0	0	0	0	0	14	0
HE_COMP227837_C2_SEQ1.576-684|UNKNOWN	0	0	0	0	0	0	1	0
HE_FRAG8204.0-1005|SPU_024104	533	19	79	0	0	0	48	15
HE_COMP228624_C0_SEQ2.185-692|SPU_018851	257	34	208	0	16	2	36	6
HE_COMP236501_C1_SEQ4.0-1115|SPU_018125	194	30	164	0	1	0	26	31
HE_CONTIG2188|SPU_000392	566	108	1385	10	149	21	103	19
HE_COMP235238_C0_SEQ1.2-1028|SPU_000244	511	8	397	30	50	0	53	1
HE_CONTIG4662|UNKNOWN	0	0	0	0	0	0	0	0
HE_CONTIG988|SPU_019929	2632	182	557	25	98	0	158	1
HE_CONTIG3483|SPU_008818	0	0	0	0	0	0	3	0
