GENE	he%sample1	he%sample2	he%sample3	ht%sample1	ht%sample2	ht%sample3	hy%sample1	hy%sample2	hy%sample3
HE_COMP246182_C5_SEQ1.8-290|SPU_005239	16	16	18	14	54	24	1	6	4
HE_CONTIG141|UNKNOWN	1404	1201	931	1533	729	1156	410	422	231
HE_COMP246646_C0_SEQ1.2-368|SPU_004713	747	1019	1127	1088	1292	498	32	62	74
HE_FRAG18958.1137-1218|UNKNOWN	82	29	55	24	26	19	40	49	14
HE_COMP241601_C2_SEQ1.351-903|SPU_026807	485	331	450	746	451	570	158	161	102
HE_FRAG10632.0-1275|SPU_003066	1224	1110	1227	1332	1963	745	83	138	117
HE_FRAG6416.12-1464|UNKNOWN	1498	1403	1588	1556	4182	1662	291	679	477
HE_COMP239702_C1_SEQ1.0-31|UNKNOWN	7	6	4	3	1	3	1	0	1
HE_FRAG17309.0-651|SPU_003635	631	701	788	422	1045	662	104	153	311
HE_COMP236912_C6_SEQ8.2-34|UNKNOWN	0	0	0	0	0	0	0	0	0
HE_FRAG5894.0-777|SPU_022326	242	87	144	63	100	182	79	31	51
HE_COMP246707_C6_SEQ1.111-153|UNKNOWN	405	379	358	297	262	198	100	62	69
HE_FRAG3745.57-414|SPU_018678	168	232	250	159	166	82	27	84	20
HE_COMP241685_C0_SEQ1.0-1271|UNKNOWN	761	508	822	1178	1411	893	47	143	104
HE_FRAG6806.0-666|SPU_024040	1114	1482	1713	2422	4291	2196	74	281	345
HE_FRAG14106.0-2090|SPU_022809	1225	1309	1962	1988	3096	1270	20	322	206
HE_FRAG12591.0-2013|SPU_010585	3359	2754	4121	4904	5451	3798	130	666	536
HE_COMP231605_C2_SEQ1.360-450|UNKNOWN	5	4	5	17	18	7	1	0	2
HE_FRAG942.0-747|SPU_013197	868	842	955	976	595	388	147	115	182
HE_CONTIG670|SPU_019187	32	7	18	28	34	30	5	7	8
HE_CONTIG3190|SPU_008160	1545	1290	1701	2087	2563	2402	195	306	336
HE_CONTIG3008|SPU_014492	786	527	588	4312	2406	3742	1542	841	848
HE_COMP236380_C6_SEQ1.22-54|UNKNOWN	52	63	77	186	184	136	17	31	29
HE_COMP242615_C2_SEQ2.230-263|UNKNOWN	4	4	3	2	4	0	0	1	1
HE_COMP225147_C0_SEQ1.0-285|SPU_000684	2	6	24	16	16	7	1	3	2
HE_FRAG1788.0-1500|SPU_012560	1167	1512	1924	2489	3706	2231	209	415	505
HE_COMP238551_C1_SEQ20.206-242|UNKNOWN	0	2	1	0	1	2	1	1	0
HE_COMP233392_C2_SEQ1.90-161|UNKNOWN	79	45	44	640	403	509	58	55	32
HE_COMP241956_C4_SEQ1.71-521|SPU_023941	328	442	545	316	349	398	37	41	39
HE_FRAG23184.1965-2285|SPU_027006	67	112	163	8	4	4	0	1	1
HE_COMP240897_C3_SEQ1.749-1010|UNKNOWN	24	26	35	15	46	26	7	24	8
HE_FRAG6220.120-168|UNKNOWN	131	95	109	44	67	45	16	12	24
HE_COMP236773_C4_SEQ5.12-52|UNKNOWN	6	11	11	7	4	10	2	3	2
HE_COMP234537_C0_SEQ1.30-321|SPU_024592	139	206	320	4	9	14	18	21	90
HE_COMP245464_C0_SEQ1.465-4995|SPU_023044	6778	4607	6549	7201	7526	9382	944	1089	1029
HE_FRAG21698.1422-4683|SPU_018809	917	1541	2287	2777	4109	3064	52	545	877
HE_COMP242449_C0_SEQ1.389-497|UNKNOWN	34	18	33	21	20	29	6	19	12
HE_FRAG7262.2-1728|SPU_019701	638	895	1453	327	737	492	48	189	147
HE_COMP229236_C0_SEQ1.162-435|SPU_005055	45	39	34	9	29	35	6	30	19
HE_COMP246564_C1_SEQ3.0-1812|SPU_010488	1946	1475	2705	3418	3731	2955	286	796	689
HE_FRAG13924.160-2322|SPU_017583	1149	1000	1292	3607	2139	1172	173	243	230
HE_COMP232655_C8_SEQ7.42-87|UNKNOWN	4	8	4	14	8	13	2	4	4
HE_CONTIG4061|SPU_014140	6175	12678	14943	15578	16941	18571	961	2388	2651
HE_COMP241780_C1_SEQ5.0-60|UNKNOWN	7	1	9	6	11	8	0	1	1
HE_FRAG16042.0-1950|SPU_019287	2158	2164	3121	1631	2326	1451	190	573	513
HE_CONTIG1907|SPU_004916	8	19	61	2	5	6	3	4	3
HE_COMP233789_C2_SEQ1.2-53|UNKNOWN	1224	551	383	273	272	211	387	156	617
HE_FRAG574.1-1472|SPU_026418	13976	6724	9057	39330	20677	27087	5516	5531	2435
HE_COMP246691_C1_SEQ1.138-972|SPU_020797	731	392	445	609	735	399	69	117	62
HE_COMP243385_C1_SEQ2.1410-1724|SPU_004423	44	92	151	237	232	72	1	19	19
HE_COMP237064_C10_SEQ3.72-114|UNKNOWN	4	2	4	35	31	36	3	3	2
HE_COMP240397_C4_SEQ3.0-531|SPU_028130	815	1713	2613	4068	3862	3379	231	387	326
HE_COMP239343_C0_SEQ1.5-44|UNKNOWN	59	50	60	162	82	106	22	20	31
HE_CONTIG5253|SPU_009990	21	2	14	124	195	107	16	13	9
HE_CONTIG3081|SPU_018320	35	41	109	89	112	22	2	2	8
HE_CONTIG1891|SPU_007127	797	1059	898	1035	1302	1665	356	442	410
HE_CONTIG2000|SPU_012262	9316	4653	6240	23504	15842	24035	5446	5717	6196
HE_FRAG5896.1137-1374|SPU_014287	48	60	58	31	28	34	19	4	12
HE_FRAG5473.24-837|SPU_014260	3455	1070	886	1376	1542	2274	1678	640	525
HE_COMP244785_C1_SEQ4.0-993|SPU_027174	361	251	421	445	747	519	61	126	123
HE_CONTIG4207|SPU_026708	665	316	647	844	735	697	129	345	184
HE_FRAG316.178-226|UNKNOWN	0	0	1	0	1	4	0	0	0
HE_FRAG5793.72-1272|SPU_014460	1476	2009	2503	1339	2166	2142	552	897	677
HE_FRAG6624.2-1680|SPU_023952	535	602	924	393	586	580	112	206	208
HE_CONTIG1866|SPU_009879	161	72	84	438	1250	755	340	158	232
HE_FRAG14673.62-599|SPU_006174	1014	620	750	522	836	460	99	82	80
HE_CONTIG1118|SPU_023355	1103	1880	2627	2166	4331	2080	202	468	533
HE_COMP242580_C3_SEQ1.0-288|SPU_026362	137	194	256	279	265	292	32	78	67
HE_COMP239160_C4_SEQ1.0-1776|SPU_009647	1516	2248	2978	3152	4120	3247	339	1153	948
HE_CONTIG5012|SPU_012342	203	509	429	498	973	841	86	182	290
HE_COMP239002_C2_SEQ1.0-2823|SPU_008966	3064	3848	4876	8029	8740	9514	200	743	934
HE_CONTIG2358|SPU_021991	555	740	823	2721	3436	3964	359	565	383
HE_COMP240801_C1_SEQ1.60-1803|SPU_015902	5592	2940	4226	7365	7471	10292	2574	3790	2537
HE_COMP236522_C3_SEQ10.118-160|UNKNOWN	65	73	66	122	110	111	16	23	26
HE_COMP231113_C0_SEQ1.39-1539|SPU_020012	809	533	658	442	1029	802	279	147	236
HE_FRAG7276.240-3306|SPU_001785	13163	10389	12810	19036	26007	18680	3520	5459	2826
HE_CONTIG2105|SPU_017120	60	38	68	316	447	485	26	40	64
HE_FRAG1204.10-58|UNKNOWN	1	1	1	3	1	0	1	1	0
HE_CONTIG2705|UNKNOWN	40	53	41	12	13	7	1	3	12
HE_COMP232533_C0_SEQ1.309-780|SPU_028302	168	161	186	308	429	286	19	48	25
HE_CONTIG3100|SPU_017709	512	531	702	1078	1879	973	106	171	170
HE_CONTIG2670|SPU_007267	706	232	156	399	194	393	46	56	65
HE_CONTIG4248|SPU_015084	247	270	278	178	232	99	24	25	33
HE_FRAG16037.2094-3536|SPU_019287	1744	1792	2302	1379	1899	1281	138	397	448
HE_FRAG13798.0-984|SPU_011658	1096	682	1170	1087	1455	1063	170	222	308
HE_FRAG1868.78-2525|SPU_007386	5857	3217	7920	6559	6197	6555	1127	1904	1460
HE_FRAG7023.19-1233|SPU_018702	7549	5192	6772	5701	6366	4901	1068	1203	984
HE_FRAG21999.0-7617|SPU_028833	1916	2031	2425	5444	9166	3814	126	904	570
