GENE	he	he+N	ht	ht+N	UNINFORMATIVE	UNINFORMATIVE+N	UNK	UNK+N
HE_FRAG5337.3-2373|SPU_007007	230	10	229	36	19	0	28	2
HE_FRAG13737.0-1110|SPU_004203	152	0	187	0	18	0	20	0
HE_COMP231761_C9_SEQ1.23-1529|SPU_017842	68	0	89	5	4	0	11	1
HE_CONTIG4779|SPU_018178	0	0	0	0	0	0	3	9
HE_FRAG13753.1659-2100|SPU_020214	40	36	54	0	3	2	3	8
HE_COMP230434_C1_SEQ1.0-872|SPU_002184	120	0	124	12	5	0	7	16
HE_CONTIG2285|SPU_019377	325	35	134	0	7	0	34	1
HE_FRAG14895.3-5836|SPU_000212	224	5	172	13	14	0	125	11
HE_COMP234152_C1_SEQ3.255-407|SPU_024859	86	0	63	0	30	0	13	0
HE_COMP227635_C0_SEQ1.100-248|UNKNOWN	0	0	0	0	0	0	2	0
HE_FRAG13543.95-278|SPU_008833	0	0	0	0	0	0	2	16
HE_COMP241500_C1_SEQ1.0-1941|SPU_030224	289	33	182	9	22	1	97	30
HE_FRAG13578.33-1190|SPU_017470	310	36	320	35	16	0	53	23
HE_COMP247261_C2_SEQ11.0-708|SPU_022355	1269	228	1745	1	0	0	341	479
HE_CONTIG157|SPU_014886	94	0	94	0	147	0	6	0
HE_CONTIG3659|SPU_014519	35	0	296	0	21	0	55	5
HE_COMP231570_C8_SEQ2.3-39|UNKNOWN	0	0	0	0	0	0	0	0
HE_COMP228741_C2_SEQ2.0-210|SPU_017960	22	0	0	0	1	0	9	0
HE_FRAG22924.3-13107|SPU_017733	1848	180	1850	38	28	1	234	77
HE_COMP237265_C2_SEQ1.119-155|UNKNOWN	0	0	0	0	0	0	1	0
HE_COMP237710_C7_SEQ1.2472-2739|SPU_005844	0	0	0	0	0	0	2	0
HE_CONTIG5111|SPU_015151	22	0	16	0	2	0	102	0
HE_CONTIG708|UNKNOWN	6	0	5	0	0	0	5	0
HE_CONTIG108|SPU_018962	171	7	114	0	14	0	8	0
HE_CONTIG2659|SPU_002174	103	17	57	0	0	0	30	0
HE_FRAG7415.1026-1242|UNKNOWN	0	0	0	0	0	0	7	0
HE_FRAG1022.505-602|UNKNOWN	57	0	31	1	1	0	5	0
